"Employee_ID","Name","Department","Age","Salary","Performance_Score","Remote_Work","join_date"
E1000,Lina,Unknown,"25",60000.0,5.0,No,
E1001,Sara,Marketing,"25",,4.0,No,"2021-01-15"
E1002,Sara,IT,"35",30000.0,2.0,Yes,"2019-03-15"
E1003,Mike,Sales,Unknown,75000.0,3.0,Yes,"2020-05-20"
E1004,Chris,Unknown,"35",,1.0,No,"2019-03-15"
E1005,Mike,Unknown,Unknown,60000.0,1.0,No,"2020-05-20"
E1006,Chris,HR,"30",45000.0,,No,"2021-01-15"
E1007,Mike,Finance,"40",,2.0,No,
E1008,David,Marketing,Unknown,30000.0,4.0,No,"2021-01-15"
E1009,Chris,HR,"30",75000.0,1.0,Yes,"2021-01-15"
E1010,Sara,IT,"30",30000.0,4.0,No,"2021-01-15"
E1011,Mike,Sales,Unknown,30000.0,1.0,Yes,"2021-01-15"
E1012,Lina,Unknown,"40",,,,"2019-03-15"
E1013,Lina,HR,Unknown,,3.0,Yes,
E1014,Anna,Finance,"30",75000.0,2.0,No,"2019-03-15"
E1015,David,Marketing,Unknown,,2.0,No,"2021-01-15"
E1016,Chris,HR,"30",60000.0,3.0,,"2020-05-20"
E1017,Chris,Finance,"40",45000.0,5.0,,"2020-05-20"
E1018,Sara,Marketing,"25",,1.0,No,"2020-05-20"
E1019,Mike,Sales,"25",30000.0,,Yes,"2019-03-15"
E1020,Mike,HR,Unknown,75000.0,5.0,Yes,"2019-03-15"
E1021,Mike,Sales,"40",,,Yes,"2020-05-20"
E1022,Mike,HR,Unknown,,5.0,,"2021-01-15"
E1023,David,Unknown,Unknown,,2.0,No,"2020-05-20"
E1024,John,Finance,"35",60000.0,3.0,Yes,"2019-03-15"
E1025,John,IT,"30",75000.0,4.0,No,"2019-03-15"
E1026,Mike,Sales,Unknown,60000.0,4.0,No,"2019-03-15"
E1027,Anna,HR,"40",,,Yes,
E1028,Chris,Marketing,Unknown,30000.0,3.0,No,"2019-03-15"
E1029,John,Finance,Unknown,75000.0,2.0,No,"2021-01-15"
E1030,David,IT,"35",30000.0,1.0,Yes,"2019-03-15"
E1031,Sara,Finance,"25",,1.0,Yes,"2020-05-20"
E1032,David,Unknown,"25",,4.0,Yes,
E1033,David,Finance,Unknown,60000.0,3.0,Yes,"2021-01-15"
E1034,Anna,Unknown,"25",,5.0,,
E1035,David,HR,"25",30000.0,,Yes,"2019-03-15"
E1036,John,IT,"40",75000.0,5.0,,
E1037,Sara,IT,"25",,4.0,Yes,"2021-01-15"
E1038,John,Marketing,"25",75000.0,2.0,No,"2020-05-20"
E1039,John,Marketing,"40",45000.0,1.0,No,
E1040,Chris,Unknown,Unknown,60000.0,5.0,No,"2020-05-20"
E1041,Sara,Finance,"30",,5.0,,"2020-05-20"
E1042,John,Finance,"35",45000.0,,No,"2021-01-15"
E1043,David,Marketing,Unknown,60000.0,2.0,,"2020-05-20"
E1044,Lina,Unknown,"35",45000.0,1.0,,"2021-01-15"
E1045,Chris,Marketing,"25",75000.0,5.0,Yes,
E1046,Lina,Finance,Unknown,75000.0,5.0,Yes,"2021-01-15"
E1047,Anna,Marketing,Unknown,,,No,"2021-01-15"
E1048,Mike,Unknown,Unknown,60000.0,5.0,,"2021-01-15"
E1049,Sara,HR,"25",,4.0,No,"2019-03-15"
E1050,Mike,IT,Unknown,,2.0,Yes,"2021-01-15"
E1051,Sara,Sales,Unknown,30000.0,,,"2021-01-15"
E1052,Sara,Finance,Unknown,30000.0,4.0,No,"2021-01-15"
E1053,Lina,HR,Unknown,75000.0,2.0,Yes,"2019-03-15"
E1054,John,IT,"40",75000.0,2.0,Yes,"2019-03-15"
E1055,Lina,Finance,Unknown,30000.0,4.0,Yes,
E1056,Lina,IT,"35",75000.0,2.0,No,"2021-01-15"
