"Employee_ID","Name","Department","Age","Salary","Join_Date","Performance_Score","Remote_Work"
E1000,Lina,,"25",60000.0,,5.0,No
E1001,Sara,Marketing,"25",,"2021-01-15",4.0,N
E1002,Sara,IT,"35",30000.0,"15-03-2019",2.0,Y
E1003,Mike,Sales,,75000.0,"2020/05/20",3.0,Y
E1004,Chris,,"35",,"15-03-2019",1.0,No
E1005,Mike,,,60000.0,"2020/05/20",1.0,N
E1006,Chris,HR,"30",45000.0,"2021-01-15",,No
E1007,Mike,Finance,"40",,,2.0,No
E1008,David,Marketing,Unknown,30000.0,"2021-01-15",4.0,N
E1009,Chris,HR,"30",75000.0,"2021-01-15",1.0,Yes
E1010,Sara,IT,"30",30000.0,"2021-01-15",4.0,No
E1011,Mike,Sales,,30000.0,"2021-01-15",1.0,Yes
E1012,Lina,,"40",,"15-03-2019",,
E1013,Lina,HR,Unknown,,,3.0,Yes
E1014,Anna,Finance,"30",75000.0,"15-03-2019",2.0,N
E1015,David,Marketing,Unknown,,"2021-01-15",2.0,No
E1016,Chris,HR,"30",60000.0,"2020/05/20",3.0,
E1017,Chris,Finance,"40",45000.0,"2020/05/20",5.0,
E1018,Sara,Marketing,"25",,"2020/05/20",1.0,N
E1019,Mike,Sales,"25",30000.0,"15-03-2019",,Yes
E1020,Mike,HR,Unknown,75000.0,"15-03-2019",5.0,Yes
E1021,Mike,Sales,"40",,"2020/05/20",,Yes
E1022,Mike,HR,Unknown,,"2021-01-15",5.0,
E1023,David,,Unknown,,"2020/05/20",2.0,N
E1024,John,Finance,"35",60000.0,"15-03-2019",3.0,Y
E1025,John,IT,"30",75000.0,"15-03-2019",4.0,N
E1026,Mike,Sales,Unknown,60000.0,"15-03-2019",4.0,No
E1027,Anna,HR,"40",,,,Y
E1028,Chris,Marketing,Unknown,30000.0,"15-03-2019",3.0,No
E1029,John,Finance,,75000.0,"2021-01-15",2.0,No
E1030,David,IT,"35",30000.0,"15-03-2019",1.0,Yes
E1031,Sara,Finance,"25",,"2020/05/20",1.0,Yes
E1032,David,,"25",,,4.0,Y
E1033,David,Finance,,60000.0,"2021-01-15",3.0,Y
E1034,Anna,,"25",,,5.0,
E1035,David,HR,"25",30000.0,"15-03-2019",,Y
E1036,John,IT,"40",75000.0,,5.0,
E1037,Sara,IT,"25",,"2021-01-15",4.0,Yes
